video_id,first_trending_ts,views_day1,likes_day1,dislikes_day1,comments_day1,likes_ratio,comments_ratio,category_name,days_trending(target)
-0NYY8cqdiQ,2018-02-01,563746,4429,54,94,0.9879544947579746,0.00016674175958676426,Entertainment,1
-1Hm41N0dUs,2018-04-29,1566807,32752,393,1490,0.9881430079951727,0.0009509786463808242,Comedy,3
-1yT-K3c6YI,2017-11-29,129360,5214,108,516,0.979706877113867,0.00398886827458256,People & Blogs,4
-2RVw2_QyxQ,2017-11-14,67429,438,23,23,0.9501084598698482,0.0003410995269097866,Education,3
-2aVkGcI7ZA,2018-04-27,1012527,19339,633,520,0.9683056278790306,0.0005135665518055321,Music,4
-2b4qSoMnKE,2017-12-20,84744,1444,199,1610,0.8788800973828362,0.018998395166619466,News & Politics,2
-2wRFv-mScQ,2018-02-14,703371,10350,260,567,0.9754948162111216,0.0008061179661942276,Sports,4
-35jibKqbEo,2018-02-15,545655,73480,727,6157,0.9902030805719138,0.01128368657851573,Music,8
-39ysKKpE7I,2018-04-24,385104,4028,343,1507,0.9215282544040265,0.003913228634342931,Sports,1
-3h4Xt9No9o,2018-04-24,230360,6468,177,688,0.9733634311512416,0.0029866296231984718,News & Politics,10
-3nEHRN6IPg,2018-02-20,249601,10384,370,1023,0.965594197507904,0.004098541271869904,Howto & Style,5
-4s2MeUgduo,2018-03-22,296237,38776,466,1342,0.9881249681463737,0.004530156597589092,Science & Technology,13
-5aaJJQFvOg,2018-02-23,390631,71090,635,4555,0.9911467410247473,0.011660620892863086,Music,11
-66xHRJSPxs,2018-05-09,744363,21224,534,3009,0.9754573030609431,0.004042382547224943,Entertainment,4
-7AZX5Xtiks,2017-12-20,363370,17882,416,1506,0.977265274893431,0.004144535872526626,Comedy,4
-7UzyXO-mzk,2018-01-04,908989,36960,434,5760,0.9883938599775365,0.0063367103452297005,Pets & Animals,6
-7_ATlZ-zMc,2018-04-19,1815030,17120,633,1434,0.9643440545259956,0.0007900695856266839,Sports,15
-8ZHXaGILlc,2018-02-20,252542,760,100,111,0.8837209302325582,0.0004395308503140072,Sports,1
-9OfAHgdV8Y,2017-12-01,1371506,18997,1185,2861,0.9412843127539392,0.002086028059665798,Comedy,1
-AY-HC4sUGU,2018-02-28,106360,226,13,79,0.9456066945606695,0.000742760436254231,Science & Technology,2
-BDImdAfodA,2018-02-03,497161,20891,721,2323,0.9666389043124191,0.0046725306289109566,Music,6
-C5q3oir8gA,2017-12-05,497085,13960,608,1842,0.958264689730917,0.0037056036693925588,Entertainment,7
-CS84oCtjvc,2018-02-21,994662,21094,714,3212,0.9672597212032281,0.0032292376706861223,Science & Technology,3
-C_rvt0SwLE,2018-02-22,1313820,151057,1567,11847,0.9897329384631512,0.009017216970361237,Music,8
-EL8TuMsb-k,2018-04-14,484189,19141,391,2150,0.9799815687077617,0.0044404147967012884,Howto & Style,14
-El8z4uy5Ac,2017-11-21,327936,11643,584,1305,0.9522368528666066,0.003979435011709602,Comedy,6
-HoAafTYR9w,2018-02-24,45970,393,153,469,0.7197802197802198,0.010202305851642375,News & Politics,5
-HrakxB4Klo,2018-01-05,96404,3455,176,1427,0.9515285045442027,0.014802290361395793,Science & Technology,5
-IqpbDJFbZA,2018-01-12,765436,40046,358,1820,0.9911394911394912,0.002377729816731902,Science & Technology,4
-KB5QbOS4s4,2018-02-27,735146,21346,699,2466,0.9682921297346337,0.0033544357175309394,Comedy,3
-L4RYm9Tq7I,2018-02-12,113435,3795,108,1442,0.9723289777094543,0.012712125887071891,News & Politics,5
-NEhvlJA5q8,2018-02-02,310910,1205,418,3093,0.7424522489217499,0.009948216525682674,News & Politics,5
-NIP2zgVsRY,2018-04-01,566146,18104,300,3568,0.9836991958269942,0.00630226125416412,Pets & Animals,7
-NcG4L0pwvE,2018-03-15,345365,18058,397,4414,0.9784882145759957,0.0127806813081812,Howto & Style,6
-OK9i1_YYYc,2017-11-14,45455,2282,35,17,0.9848942598187311,0.00037399626003739963,Pets & Animals,3
-Q5pHm2Cfq4,2018-01-18,83525,489,21,41,0.9588235294117647,0.0004908709967075726,Autos & Vehicles,3
-QR-TB_k20M,2018-03-01,23877,93,30,20,0.7560975609756098,0.0008376261674414709,Entertainment,1
-Qv6p6pTz5I,2018-04-06,3358174,132789,1473,9050,0.98902891361666,0.002694916939979882,Entertainment,7
-QxZv_wJ1aA,2017-12-14,98042,5112,26,370,0.9949396652393928,0.003773892821443871,Pets & Animals,1
-R9F2_D76TE,2018-03-24,251579,7468,216,993,0.9718896408120771,0.003947070303960187,Education,12
-RUbNqpwOt8,2017-12-16,1128702,36287,1768,3424,0.9535409276047826,0.0030335730777477136,Entertainment,4
-SIp6xSP7ds,2017-11-22,212414,846,266,1029,0.7607913669064749,0.004844313463331042,News & Politics,8
-TQpVg4vcrk,2017-12-20,152544,9773,61,823,0.9937970307097824,0.005395164673799035,Comedy,9
-V1Oo7srGf0,2018-02-01,60262,4804,122,736,0.975233455136013,0.012213335103381899,Film & Animation,3
-W6v2_0evUU,2017-12-16,448615,18077,1545,1240,0.9212618489450617,0.0027640627263912265,News & Politics,3
-WRcZ9xHMuE,2018-02-26,643051,7736,490,1637,0.9404327741308047,0.002545676781468344,Science & Technology,2
-WedqN1iYbM,2018-02-03,33918,524,10,55,0.9812734082397003,0.001621557874874698,Music,5
-YRlVB6Qgug,2018-02-10,226101,9197,149,250,0.9840573507382837,0.0011057005497543133,Entertainment,7
-a12nTEcoqE,2018-01-12,192909,2343,484,717,0.8287937743190662,0.0037167783773696408,Entertainment,1
-gfGtIHfU7A,2017-12-04,261506,8522,228,508,0.9739428571428571,0.0019425940513793183,Education,4
-hI5Ds3IgVM,2018-05-01,799107,44241,514,2405,0.9885152496927717,0.0030096094765782303,Howto & Style,3
-hg_VRwS5RI,2018-02-19,110470,7366,69,1247,0.9907195696032279,0.01128813252466733,Entertainment,3
-kETYvHON_I,2018-01-19,278088,12068,521,1143,0.9586146635952022,0.004110209717787175,Education,7
-knTMViJqMU,2018-02-24,23976,887,101,307,0.8977732793522267,0.01280447113780447,News & Politics,4
-l7TOYJZBtI,2018-05-01,709569,36120,217,3464,0.9940281256020035,0.004881836720600816,Entertainment,1
-lgcAySBbTA,2018-04-28,1331385,61269,446,2354,0.9927732317912987,0.0017680836121782956,People & Blogs,5
-mvfLtZTe3Q,2018-01-15,98748,316,42,120,0.88268156424581,0.0012152144853566655,News & Politics,5
-nbm90xAhWY,2018-02-24,127981,5574,107,1079,0.9811652878014434,0.008430938967502988,Entertainment,6
-oCQn2VkStI,2018-01-17,104434,7862,1004,1560,0.8867584028874351,0.014937663979163874,Science & Technology,7
-oOlAGKBXnA,2017-12-12,957494,36078,1911,2054,0.9496959646213378,0.002145183155194706,Comedy,7
-oXybog2IuI,2017-11-16,21740,979,5,93,0.9949186991869918,0.004277828886844527,Education,6
-p-PToD2URA,2018-02-23,1422146,35854,991,2240,0.9731035418645678,0.0015750844146803493,Science & Technology,11
-p2lhxUqMMQ,2018-01-28,169468,10974,73,1611,0.9933918710962252,0.0095062194632615,Education,6
-pCzLbCCppo,2018-05-08,212070,6640,135,730,0.9800738007380074,0.0034422596312538314,Education,5
-ppaazmNIgA,2018-01-18,295226,2831,171,237,0.9430379746835443,0.0008027748233556665,Entertainment,5
-py2awmME8s,2017-12-03,242741,12049,118,928,0.9903016355716282,0.0038230047663971064,Entertainment,2
-rZkKvRZ0UE,2017-12-04,74720,1291,42,158,0.9684921230307577,0.002114561027837259,Science & Technology,5
-s3j-ptJD10,2018-03-08,622528,21688,368,1882,0.9833151976786362,0.0030231571913231212,Education,12
-sXnoM6rDB4,2018-02-08,430483,19736,554,1760,0.9726959093149334,0.0040884309020332976,People & Blogs,3
-t1q78GYNww,2018-04-19,127481,4865,234,1117,0.9541086487546577,0.008762090036946682,Howto & Style,5
-t5YLGn3VHQ,2017-12-17,48735,2465,109,411,0.9576534576534577,0.008433364112034472,Gaming,1
-txKpma65ZU,2018-02-02,237548,4134,1183,613,0.7775061124694377,0.0025805310926633775,People & Blogs,7
