video_id,first_trending_ts,views_day1,likes_day1,dislikes_day1,comments_day1,likes_ratio,comments_ratio,days_trending(target),category_name_Autos & Vehicles,category_name_Comedy,category_name_Education,category_name_Entertainment,category_name_Film & Animation,category_name_Gaming,category_name_Howto & Style,category_name_Music,category_name_News & Politics,category_name_Nonprofits & Activism,category_name_People & Blogs,category_name_Pets & Animals,category_name_Science & Technology,category_name_Shows,category_name_Sports,category_name_Travel & Events
-0CMnp02rNY,2018-06-06,475965,6531,172,271,0.97433984782933,0.0005693695965039,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0NYY8cqdiQ,2018-02-01,563746,4429,54,94,0.9879544947579746,0.0001667417595867,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1Hm41N0dUs,2018-04-29,1566807,32752,393,1490,0.9881430079951729,0.0009509786463808,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1yT-K3c6YI,2017-11-29,129360,5214,108,516,0.979706877113867,0.0039888682745825,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-2RVw2_QyxQ,2017-11-14,67429,438,23,23,0.9501084598698482,0.0003410995269097,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-2aVkGcI7ZA,2018-04-27,1012527,19339,633,520,0.9683056278790306,0.0005135665518055,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-2b4qSoMnKE,2017-12-20,84744,1444,199,1610,0.8788800973828362,0.0189983951666194,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-2wRFv-mScQ,2018-02-14,703371,10350,260,567,0.9754948162111216,0.0008061179661942,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-35jibKqbEo,2018-02-15,545655,73480,727,6157,0.9902030805719138,0.0112836865785157,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-39ysKKpE7I,2018-04-24,385104,4028,343,1507,0.9215282544040264,0.0039132286343429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-3h4Xt9No9o,2018-04-24,230360,6468,177,688,0.9733634311512416,0.0029866296231984,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-3nEHRN6IPg,2018-02-20,249601,10384,370,1023,0.965594197507904,0.0040985412718699,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-4s2MeUgduo,2018-03-22,296237,38776,466,1342,0.9881249681463736,0.004530156597589,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-5aaJJQFvOg,2018-02-23,390631,71090,635,4555,0.9911467410247472,0.011660620892863,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-66xHRJSPxs,2018-05-09,744363,21224,534,3009,0.9754573030609432,0.0040423825472249,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-7AZX5Xtiks,2017-12-20,363370,17882,416,1506,0.977265274893431,0.0041445358725266,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7UzyXO-mzk,2018-01-04,908989,36960,434,5760,0.9883938599775364,0.0063367103452297,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-7_ATlZ-zMc,2018-04-19,1815030,17120,633,1434,0.9643440545259956,0.0007900695856266,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-8ZHXaGILlc,2018-02-20,252542,760,100,111,0.8837209302325582,0.000439530850314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-9OfAHgdV8Y,2017-12-01,1371506,18997,1185,2861,0.9412843127539392,0.0020860280596657,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9rdDeWzvsU,2018-06-14,296615,38671,463,2348,0.9881688557264784,0.0079159853682382,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-AY-HC4sUGU,2018-02-28,106360,226,13,79,0.9456066945606696,0.0007427604362542,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-BDImdAfodA,2018-02-03,497161,20891,721,2323,0.9666389043124192,0.0046725306289109,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-C5q3oir8gA,2017-12-05,497085,13960,608,1842,0.958264689730917,0.0037056036693925,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-CS84oCtjvc,2018-02-21,994662,21094,714,3212,0.967259721203228,0.0032292376706861,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-C_rvt0SwLE,2018-02-22,1313820,151057,1567,11847,0.9897329384631512,0.0090172169703612,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
